address,amount,percentage
zCkAGbp4ToLxMvUDTLfJGgHeT294YVDzTkfZKNge9FPu7Bz7siFyF2p2iXyturwW64qSaU9eYQBPE2Q1vo5X49dX9bX9PbzZMnjV1t2oChNX7G1BuBuorgLxUusPA663hpdbhSaDCsBLXdaWswENT9WGrSfQhqguDSPyL42EpgTcwTuQV3u8wejbrLd7vcttDLMisNkZ989jng5WuRsAL7jmRNm3yrvVrEWk2WiZPNTBFGqeSUFiyUjf75oCPw47kyDyA1ezF5dLicbHk36PfE9HWgMpoqA8jmJ6jQvNoeY8xppxcKHAQkBA1PR2jFruJzDGSa9iXjMjF4NgKh6pVzT9QdFyGopgcw3UwF2E2h27vEsRaN51ZNBfFbBPNZ9aRJ3A7Pyn3vMMdHisp8j2TfHhyeJQM48PBnvZjXkSgCAuyD2Zfo1oWo9nBqMe3xsVPbaguF4K77fbwSEGPT2jiUU1WhE2pYxsrZ9mPXXmGZ7CXWtaYhcGzP1KtyfyJ87q3Pf7Hnt11buGFTAwq1h4MfKDq1dbAWxR8jGAKXuhKHoCpshXwMAaX6psBcoq6zBrVwLeQAF2kF4ZPu6Ye78gz4Tze9fifvDu,2500000,6.3e-05
9fhmbho3ZS5nhTHos4pBstGxT9juxqZGJVG9tJLo5iw3csw6yag,2500000,6.3e-05
9f6ZNwRohHgCKtjuzFrzXzfCGR4pwCHdEduWRLuKAv7CJQCwJT2,2373502,6e-05
9etrHntLkgPhq78Z8c7LyNLhUE3hmKJHe4cK2H7a4YeCyXmV2W9,2307853,5.8e-05
9gc3Rb9noL3wd5tu9Fk1663WFF381C8SCkR8LCkJJ8HHXySn4jm,2173102,5.4e-05
9fSuzs5tQUSaitGQhurYFfHJUBqQ4pz94BTvwQKL37vT81UcEij,2144500,5.4e-05
9gcGJhxraGECq8FCiBwgE8qHSC6ighrwCy7ePWxDY8pEF2Bx2pN,2070692,5.2e-05
9g9b9XdDBrvENHiR86cjVdrJxJ7KBDtWbwdQQJvsFqoTTJ5EYte,2022750,5.1e-05
9eXuqcZdnnbwfksDMaSLdmJVyTYi3EqCrUCpBsfkQtUgi7Jn848,2000000,5e-05
9iME8TYaDw2sJfkPhgdNEUVuGgamZXKArbeE4xVvEJnub4NgEaw,2000000,5e-05
9h988YNCoFFDgey8DYvdaC9RZj4ZkH1UyFkSKrtKPMVmXeK1fQd,1922845,4.8e-05
9hj1PsrCRtJyt1kSNPFATucqiTQx6feneCjB2SWgFMtETEABb3D,1855928,4.7e-05
9hY6Q92iNYJ193d33R9mNx2UnjT213JAJRDUnUnRmNJeNvTipEz,1789277,4.5e-05
9i6Rvfesqd1L8vXicACQmLSixUQuy7qYJVetT1vNtGGcVB6xwKL,1775224,4.5e-05
9hAzX6shmcgQxHNSMtN1nE4cbna3xtNV498ZSZMVm4L7ihweQmf,1666668,4.2e-05
9ei8XtkKzSQ9MWgYkax6658bTuErvvGRaJ5uDU4RQpTzqSNA6aD,1666668,4.2e-05
9iFPqiSq9tiDDnbhL3hgwnFm2QUaGHsGPUc1F4Ef2yb84wsWhX5,1665000,4.2e-05
9gENVSxxR6F6sPUZwpfYYR5SUTkYm9u6EGvJ4t9x8eaHmuGyEJq,1663292,4.2e-05
