address,amount,percentage
6ugwDBGznX32MSheEEKyK7W3iMKjQqSeDe5pstTSFftCGW8R4uvn4kUSKnh81nXTCeiRzSaTSizsSdt4PASP8NE6KW9aSirygCXhKxsA1tzP4Wpq6v2t6PpfjLhvdyRNXXXMfJsR4vLs6ZuXPLqec3mNvG99upATNmnRsGGTb4desfKN32H2myJbsQiUXLUuJG7kDKjfSdyKPiqVYwgxzn61pE7aQLcVhfbeABEiLXDskppjuR1Gq1ThvBzECY2bGo1ssB3vSZXA8um6VLAtNFCpzRzcE1YBAmcgdDz5KoW5h2j1p557Przo1HJnt9UXeFzMvkW6n9vTG1keYYdJk8TqoZLRbp7x6DvsZP2MXdVQjmgUG8mdszvZB8bNohJ4YAfhuMy8KzgjCHWqZaBn1U5UYSPSfZ6k2iwkEiBa9niz7c61LP1FRMxDBvhQsiQY2Ki8RBXkyPypsBmzDS8xzq4nimUZgPtf9XpzDPzERViA1HtdGNFnnUHXNjLhZNE5HjV3mWNyg2y9dvwLFySCkLfGEXBn9rstBcEbED15psnbN1y5he5umG8WNzHkxX7p2xWz7qAWAXs6PPJuTF3YdEDZ1xGsodaD9hV4c8wJQcXLASmskPPf6gmxBai935LtKWGsAqkacS55xV3fLmPtdGaC5E7xvMjqLs7eFNRBBRMcQcJAi6SkjRnzaNMxvprEsvpXzfrSVUUWtcHjQ8gwxmdewCXffg6G55PkcHDN6MFNBBo8pxC8H9uQVCm9uxFecFdokgk55c3u1wcf5FbKgHvcZQAHxSDgSejksdMb4vcGgaudC31CWT2aajzDVKJqmBj4VFyXzPsDwGy7rXzhc77rUXNHbhueiPg5kwMADD7mcxDN2xq1xb5yhv9NNiGf9uvKKe8rppVeyZ3Sva1T2GHy43PiJRwbdRcyJxSU5Gz32rcNE8rhbmKdZa4r5oeaK2N1fTw2HKXd9ztS1zGYn9raDfq8KXfufeBUGj1Xbi5rg2s3jDMwMCNVdhhks4h1ezegkJaUj3C62Epj7MX2dzQJw8w8rMmCWKyGhzWFG5AfvgZeXvLg4L5RMnEGt6NKDc7PBfToQnpYX6nLaVKvo3WvprLfK7VGGvCEK5mtkTP6ea7QmiuLjV572RXgULPSychZqnASvdyZSip7nmfi3298MGns7Eauk7Wy28Bkameaupm5pV3e8cD5mWHkgdGjuc4zZnkUEhdxowkex1R36jqCVk27koCFm1gsFj3GHaRoXUBsG3sGgeoazy9mAgLuLoFdTsZrYMCFCicK5Dfa7SgpBgyKA7NYJ61Yc8WwxaokSmcy6jkE8FKSjwdnLg7tR5kp2AkqXjE6kswcghuez53p8jXeCChPy3FrpkSJBiYbrAeW6qwmGNjXz2zZWB8ANLkjDiR3kA7PBQpTCJx7bL7iXr4BPRHVuTbhJJPuYmRzqXaWL6AMcfu7SYz8mQCz7vCLDYTygFK7yLUQtiaHueYX1jLQ5mXHg3Xfe2CAygG4f9EHeVBNSUNGBWAWaoJ837nH5tHB2469wBzsLFjqZYbCf1vtDmHJw2HkdVvkoVSiGreQvHJQUPKDzyN6V8PEmAnWg1JYNYBv58AtsL3X5Q1zPbhonwaEtsYNPNAnEWzKMnxLc3tzo9LcKo1jnFA1kxw9rve5q6tTS9RcoXrKRgW6oLsL7EHrStCafucVr2m4dtnoLYmGpmUfb9Kmy6p21q9xBDBK4nysGjmMoLYy295h7NCwU3isYoN5xjjS,470220,0.0
9gy6TfS4YNS67KYbrsyGqAhvAxGc4CF9op9H9WZdZPsEWT9q2w8,239306,0.0
9hp3fH6LkT5tkKqrYUXX4J2D1TEYcBht62RhU6EXnSXCdrBH5jQ,158973,0.0
9gKmqWMJwtuAQzs9VXtzfbvrbCS8ton6EnGZQKsjzdgSywnKJHx,104161,0.0
3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,102975,0.0
9gbCqhDbZbqApchfq1gRKWnUyWSH3nPBWhHx7ALBUiNd7ss5tgc,100000,0.0
zCkAGbp4TmHiATPy3ozQ3qkmDdrqjyxH3UtxP3T7Vh74sNXGcP7dgWu4mLs8AJjVKJoC23qJBpFRdR2xE9MACDcGM5ym74bqsJXp5D643Tr1vsQ8eQ1hhdWQCduXQTitjhWiS1zAwssAxj1N3CmviPrmR3ZdJQKEgCVW8fUvcgptdTBqhcLRZHLtaCeWFpxTenQj54Xg3dw5TfaEr5qXCrz9SxFytvMY9ZuvicQiwTQNsuexw3J2GJAsGVDLeXBKNjbGRwC6hJxLKDwkY3jjkHdHmQoeQLRru2W2jYgJDBF1pznjuEje2n7o1mBSfj71uw3bb927ATHxjTApeYLK7dzbLJ5iwmSRXyYkAvQJYFxpJFcbwuMXpLRkUqyL1r6RZuRqNu5F3Yz63QhfdcoZt8tYxtURGvTYjLd19QWDcCQGkNn7LpmiuMmENnsvfs1qkfcgMPyVmVqc75BaNq6NAGPrsyNSw7Y1tysF7dmw4pDxAugpeMfLC8vgGWmCqLWbk8ryWkvapVrGgg1YTbTUAKFX8JE9KphPFVPxPjSfw3Xujmn5Sn9d4ymEqB9szR3ZMFUp2VKaZ6dsoZmqvJFbk3wDEoXihg1C,100000,0.0
9hWJjh3LDZGSaaFsqUdybmtxnL95ofkkoXDki5tyVB536PL8Tvv,99999,0.0
9gwFTap8YaQEzsMAXdt4pa1BjAsR9gcijMMuxTRrAf4vgMhSnXY,78051,0.0
YyLFSXrJzwex4vsbT4c2scf5TT4ZnvSKH95VyBdVUcuwZjSdumAKg9TjHTESNJjHww3C3f4D4ED66iU72Q1zTxd1BCuKQ8av2uojAbQnFLFR2Ao5Pt7J98bVzJRVoTrvs4xk7GHWtZ3Lkrpix2meQVaczXs1oFBTKM25gJcqVjjTN4Qpn5XYdVzLdv6q2i9xPtKpygYwoP7buPcGih9gVJiP8JtJNBQJa8zVWMpTsGGgvfw1hM8efoXqJYsXHVgM5ARCxWok4buVCpzU1cCWvxyXoUodUPHMtFuWoBB51e57EukGbca61xxRNmjuHjCHjeSf3UmzTuGcoFbM28P57oHhq7XpKBew7DeF68ePa8HvPcM6kiuKgQbrbURoxgYWHWAWQPgP8xwzzqLYTq1dnqepnFxCfV6RDZQoq6WQ3dLAr2qi1CuWKbGFVELvJ3dRMo3Q2K6yTxCfRfU4fbaAs3sVVgJ1f9SE8cHM41XWBr8gpHBCQWC1heE3Y7UaHE2t6L7KGTfMY6Uwja1kyb631c9oMyX76yfPybyLUJGiP3ktVa6AdCBmCszwRZQjWdgpJQt2Mg4gyfECt3pPCGX2JpzTup2y23ajnZ8Nj5ndJEnVZu1CZooxzXPJ6iLLki2C7EcVyTSPgCoQYJ6LJ6Jw61MsYHoj5mwP1Xa9wsyXzdwn3GiZsiHYSynx5CCutiQpDLZ6WckDbNcaX4K9UKdDB4HG66MbavxpBcvwUbTondMemZ6CLseHp,63769,0.0
